ZCTA5,LANDSQMT,WATERSQMT,LANDSQMI,WATERSQMI,POPULATION,HSGUNITS,INTPTLAT,INTPTLON,Total Area in Sq Mi,Lat-top,Long-left,Lat-bottom,Long-right
15222,2103908,676361,0.81,0.26,"3,294","2,146",40.447679,-79.993462,1.07,40.455187,-79.999175,40.440171,-79.987749
15223,4965692,165715,1.92,0.06,"7,236","3,669",40.505181,-79.952226,1.98,40.515381,-79.959981,40.494981,-79.944471
15224,2607025,0,1.01,0.00,"10,141","5,953",40.464234,-79.944805,1.01,40.471504,-79.950336,40.456964,-79.939274
15225,3965382,2109158,1.53,0.81,"1,084",620,40.506673,-80.113842,2.35,40.517771,-80.122280,40.495575,-80.105404
15226,6566989,0,2.54,0.00,"13,974","6,810",40.395075,-80.013955,2.54,40.406614,-80.022743,40.383536,-80.005167
15227,16006615,0,6.18,0.00,"28,156","13,415",40.375704,-79.970572,6.18,40.393718,-79.984296,40.357690,-79.956848
15228,8133684,0,3.14,0.00,"17,595","7,771",40.370668,-80.044135,3.14,40.383509,-80.053919,40.357827,-80.034351
15229,10480076,0,4.05,0.00,"13,825","6,497",40.520343,-80.037048,4.05,40.534920,-80.048129,40.505766,-80.025967
15232,2058658,0,0.79,0.00,"11,374","7,020",40.452517,-79.931939,0.79,40.458977,-79.936855,40.446057,-79.927023
15233,3219616,1156294,1.24,0.45,"4,451","1,725",40.460862,-80.034917,1.69,40.470281,-80.042083,40.451443,-80.027751
15234,8198923,0,3.17,0.00,"14,056","6,751",40.368133,-80.017803,3.17,40.381026,-80.027626,40.355240,-80.007980
15235,37977161,0,14.66,0.00,"34,580","16,780",40.459801,-79.822420,14.66,40.487549,-79.843532,40.432053,-79.801308
15236,28746387,0,11.10,0.00,"29,724","13,843",40.347406,-79.975481,11.10,40.371547,-79.993880,40.323265,-79.957082
15237,62709050,161752,24.21,0.06,"41,895","18,766",40.549607,-80.043513,24.27,40.585309,-80.070641,40.513905,-80.016385
15238,42425826,2074022,16.38,0.80,"13,162","6,088",40.537201,-79.879444,17.18,40.567238,-79.902271,40.507164,-79.856617
15239,41398514,0,15.98,0.00,"21,024","8,746",40.483674,-79.738073,15.98,40.512645,-79.760108,40.454703,-79.716038
15241,26939038,20331,10.40,0.01,"20,395","7,832",40.333539,-80.081267,10.41,40.356918,-80.099089,40.310160,-80.063445
15243,7789902,6712,3.01,0.00,"13,406","5,961",40.375511,-80.072372,3.01,40.388084,-80.081950,40.362938,-80.062794
15260,209620,0,0.08,0.00,0,0,40.443914,-79.953256,0.08,40.445976,-79.954825,40.441852,-79.951687
